theme_key,description,keywords,salience
scope_and_product_coverage,"Which hardware and software products fall within the regulation's mandatory requirements, including debates over open-source software, SaaS, and bespoke enterprise solutions.",\bscope\b; \bproduct[s]?\s+with\s+digital\s+elements\b; \bopen[- ]source\b; \bsoftware[- ]as[- ]a[- ]service\b; \bSaaS\b; \bexclusion[s]?\b; \bin[- ]scope\b,Tech industry lobbies hard to narrow scope and exclude open-source/SaaS; civil society and ENISA push for broad coverage to close gaps; SMEs fear disproportionate compliance burden.
essential_cybersecurity_requirements,The stringency and prescriptiveness of the mandatory security-by-design and security-by-default technical requirements manufacturers must meet.,\bessential\s+requirement[s]?\b; \bsecurity[- ]by[- ]design\b; \bsecurity[- ]by[- ]default\b; \bvulnerabilit(y|ies)\b; \bsecure\s+development\b; \bminimis(e|ation)\b,"Manufacturers want flexible, principles-based requirements; security researchers and consumer groups demand concrete, enforceable standards; tension between innovation and prescriptive mandates."
support_period_and_lifecycle_obligations,"How long manufacturers must provide security updates and support for products, and what obligations apply at end-of-life.",\bsupport\s+period\b; \bsecurity\s+update[s]?\b; \bend[- ]of[- ]life\b; \blifecycle\b; \bpatch(ing|es)?\b; \bexpected\s+product\s+lifetime\b,Consumer and civil society groups demand long support periods; hardware manufacturers resist open-ended obligations; debate over who bears cost when products outlive commercial support windows.
conformity_assessment_and_third_party_verification,"Whether self-declaration of conformity is sufficient or mandatory third-party assessment by notified bodies is required, and for which product risk classes.",\bconformity\s+assessment\b; \bself[- ]declaration\b; \bthird[- ]party\b; \bnotified\s+bod(y|ies)\b; \bClass\s+(I|II)\b; \bcritical\s+product[s]?\b; \baudit\b,Industry prefers self-declaration to reduce cost and speed time-to-market; regulators and security experts push for mandatory third-party assessment for high-risk products; notified bodies lobby for expanded mandates.
vulnerability_disclosure_and_incident_reporting,Mandatory timelines and mechanisms for reporting actively exploited vulnerabilities and security incidents to ENISA and market surveillance authorities.,\bvulnerability\s+disclosure\b; \bincident\s+report(ing)?\b; \b72[- ]hour\b; \bENISA\b; \bcoordinated\s+disclosure\b; \bzero[- ]day\b; \bnotif(y|ication)\b,Security researchers and vendors clash over mandatory 72-hour reporting windows that may force premature disclosure before patches are ready; intelligence agencies concerned about mandatory reporting creating exploitable intelligence; tension with NIS2 reporting obligations.
open_source_software_treatment,"Whether and how open-source software projects and their stewards bear obligations under the regulation, including exemptions for non-commercial development.",\bopen[- ]source\b; \bfree\s+software\b; \bopen\s+source\s+software\b; \bcommercial\s+activit(y|ies)\b; \bnon[- ]commercial\b; \bsteward(ship)?\b; \bfoundation[s]?\b,Open-source foundations and community developers fear being liable for widely-used projects they maintain voluntarily; commercial vendors that build on OSS want clarity on who is responsible; Commission seeks not to chill open-source innovation while closing supply-chain gaps.
market_surveillance_and_enforcement,"How market surveillance authorities across Member States coordinate enforcement, including powers to withdraw non-compliant products and impose penalties.",\bmarket\s+surveillance\b; \benforcement\b; \bpenalt(y|ies)\b; \bwithdraw(al)?\b; \brecall\b; \badministrative\s+fine[s]?\b; \bnational\s+authorit(y|ies)\b,Member States with lighter regulatory traditions resist strong Commission oversight; industry warns of fragmented enforcement creating unlevel playing field; debate over penalty caps (up to €15M or 2.5% global turnover) and their proportionality for SMEs.
sme_and_proportionality,"Whether the regulation's obligations are proportionate for small and medium-sized enterprises and micro-enterprises, and what targeted relief or phase-in periods apply.",\bSME[s]?\b; \bsmall\s+(and\s+medium|enterprise[s]?)\b; \bmicro[- ]enterprise[s]?\b; \bproportionalit(y|ate)\b; \btransition(al)?\s+period[s]?\b; \bstart[- ]up[s]?\b,SME associations and startup lobbies argue compliance costs are existential for small players; consumer groups counter that exemptions create dangerous loopholes; Commission seeks balance between innovation and security floors.
standardisation_and_harmonised_standards,"Which technical standards satisfy the essential requirements, who develops them, and the role of European Standardisation Organisations versus international bodies.",\bharmonised\s+standard[s]?\b; \bstandardis(ation|ing)\b; \bCEN\b; \bCENELEC\b; \bETSI\b; \bISO\b; \bcommon\s+specification[s]?\b,Industry wants to use existing international standards (ISO/IEC) rather than bespoke EU standards; ESOs and Commission want EU standards to reflect European values and policy goals; debate over presumption of conformity timelines.
supply_chain_security_obligations,The extent to which manufacturers must assess and take responsibility for the cybersecurity of third-party components and upstream software dependencies.,\bsupply\s+chain\b; \bthird[- ]party\s+component[s]?\b; \bdependenc(y|ies)\b; \bsoftware\s+bill\s+of\s+materials\b; \bSBOM\b; \bdue\s+diligence\b; \bcomponent\s+integrat(or|ion)\b,Large integrators fear liability for vulnerabilities in components they did not develop; component vendors resist obligations flowing down; security community and government users demand SBOMs for critical infrastructure procurement decisions.
interface_with_sectoral_legislation,"How the Cyber Resilience Act interacts with and avoids duplication or conflict with sector-specific regulations such as NIS2, the AI Act, the Radio Equipment Directive, and the Medical Devices Regulation.",\bNIS\s*2\b; \bAI\s+(Act|Regulation)\b; \bRadio\s+Equipment\s+Directive\b; \bMedical\s+Device[s]?\b; \blex\s+specialis\b; \bregulatory\s+overlap\b; \binterface\b,"Regulated industries (health, automotive, aviation) lobby to stay under their existing sectoral regimes; Commission faces political pressure to ensure coherence; lex specialis carve-outs create fragmentation risks."
